name,roles,uuid,field_section_title,field_position_title,field_academic,field_staff_number,field_employment_year_title
AlexanderJenkins,teacher,f3b4d0f8-6bff-4176-af25-370412942040,"Department of Mathematics",06e3d111-dd5b-0f94-698e-eed00bbd2569,1,PEDU0022106,2006/2007
AlexanderLees,staff,4ab1c43c-cc72-4985-a04a-74b91adeaf71,"Faculty of Pharmacy",,0,PEDU0041597,2006/2007
AlexMitchell,teacher,ac1f206c-b022-44c9-be00-b6b8fa6937b8,"Department of Community Health",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022074,2006/2007
AlexPeacock,staff,5193d7b3-581e-4590-9400-ba6eba317465,"Department of Linguistics",,0,PEDU0041624,2009/2010
AlexSaunders,teacher,8bcea86b-97c3-4814-9e00-ac5845e728ab,"Department of Preventive Dentistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041279,2006/2007
AlfieHart,teacher,0422b295-9160-458c-a34d-77e38c96cbc5,"Department of Chemistry",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0022062,2006/2007
AlfieHerbert,teacher,674a24ba-8f53-4668-a803-3c08ee1626ad,"Department of Physics",06e3d111-dd5b-0f94-698e-eed00bbd2569,1,PEDU0022107,2006/2007
AlfieMacdonald,teacher,05e9e191-a197-4db2-ac00-b0f2c9ba31c5,"Department of Anaesthesiology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022032,2006/2007
AlfieStephens,teacher,e942d092-0ed5-4e06-9400-f25f863c8d02,"Department of Oral Diagnosis & Radiology",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0017292,2006/2007
AlfieStevenson,teacher,d63fec91-7302-4647-9300-f5ceca661d93,"Department of Chemistry",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0022103,2006/2007
AliceIqbal,teacher,28cd3cfa-2a4e-49be-8b00-a13283a85819,"Department of Animal and Environmental Biology",06e3d111-dd5b-0f94-698e-eed00bbd2569,1,PEDU0041360,2006/2007
AliceStephens,teacher,65b64c3c-71e8-4d46-a302-2f702062ad01,"Department of Mathematics",853c6bab-2240-2d24-d113-e6c8cc817d0a,1,PEDU0041506,2006/2007
AliciaLamb,teacher,2994f7b5-59ed-497e-8500-fb96da5b92a1,"Department of Pharmaceutical Microbiology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041366,2006/2007
AliciaMellor,teacher,c8fe2d57-4386-4aa4-8701-1ba1858ebd58,"Department of Fine and Applied Art",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041483,2006/2007
AlishaFleming,teacher,e9d757e1-394b-48fc-be1d-290b1ba5fc7c,"Institute of Sport",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041536,2006/2007
AmberAtkinson,teacher,6abc70f0-d2eb-4a22-8927-39542be46df1,"Department of Obsterics & Gynaecology",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041477,2006/2007
AmberWebb,teacher,e0df8d98-c0b3-47ba-8600-aba45ad31012,"Department of Computer Science",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041355,2006/2007
AmberYates,teacher,b9d114c7-f985-49d8-9d00-bce3cac0749d,"Institute of Sport",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041395,2006/2007
AmelieAdams,staff,1442b017-84b5-4560-a202-2e2036c3bf4e,"Department of Physics",,0,PEDU0041570,2007/2008
AmelieCole,teacher,89fee438-e003-4d13-9f00-c1baa73b7b92,"Department of Pharmaceutical Chemistry",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041363,2006/2007
AmyBurns,teacher,f0d17f88-9874-4263-8b08-8a5a3e4518cd,"Department of Preventive Dentistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041351,2006/2007
AmyDavidson,teacher,2ef28ed4-e36f-492a-b600-c55cfc6c7e84,"Department of Aerospace Engineering",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041449,2006/2007
AmyParkinson,staff,058b39d3-1a77-4027-bd25-37b5cc75c819,"Department of Clinical Pharmacy",,0,PEDU0041568,2007/2008
AmyParry,teacher,c9ef8c02-2dce-483b-a100-a63eb89a14a0,"Department of Pharmacology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041372,2006/2007
AmyPoole,teacher,e230c644-6c37-4f39-ba08-8ce4a8ad455e,"Department of Periodontics Dentistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041348,2006/2007
AndrewGibbs,teacher,3483ea41-4599-427e-8c00-b482dc76d805,"Department of Restorative Dentistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0032797,2006/2007
AndrewHarrison,teacher,14ae2423-a66d-4e8b-8f00-a398af604a26,"Department of Community Health",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0032816,2006/2007
AndrewKirby,teacher,7bf903c6-5606-4d1e-aa3e-621262fa637b,"Department of Preventive Dentistry",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0022013,2006/2007
AndrewNaylor,staff,7ad69b5a-15ef-4c55-871b-2784077c57d3,"Faculty of Arts",,0,PEDU0041594,2006/2007
AndrewPreston,staff,cd4c84d0-295b-4620-ab00-dbb36a7c15ab,"Department of Oral Diagnosis & Radiology",,0,PEDU0041610,2007/2008
AndrewWoods,teacher,ef47f247-a6a4-4eed-8a00-c8c1db7cb1ca,"Department of Medical Laboratory Science",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041264,2006/2007
AnnaMcLean,teacher,5de12b54-027a-430e-bb04-4ab4074285fc,"Institute of Sport",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041541,2006/2007
AnnaPayne,teacher,fe8cf54b-5fc5-401f-9405-5d630321dd5f,"Department of Oral Diagnosis & Radiology",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041492,2006/2007
AnthonyHenderson,teacher,cfe901d5-4be4-4b19-9800-0d09d4ba6108,"Institute of Sport",853c6bab-2240-2d24-d113-e6c8cc817d0a,1,PEDU0041339,2006/2007
AnthonyNorth,teacher,329e1853-91e5-4a03-9305-5c62a2f726b9,"Department of Plant Biology and Biotechnology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0032803,2006/2007
AnthonyWilliamson,staff,9827ee0e-6e46-4827-9c3c-6024e674ce0f,"Department of English and Literature",,0,PEDU0041608,2007/2008
ArchieMorrison,teacher,01f3f1d9-59b3-40ca-ba20-32f7a73cc9dc,"Department of Pharmaceutical Chemistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022027,2006/2007
ArchieWilliams,teacher,0b05b754-8e4c-4633-9b0b-11f592bb6913,"Department of Chemistry",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0032804,2006/2007
AvaConnolly,teacher,e10901d3-71ba-4bfc-ac26-38c92ea28ea7,"Department of Surgery",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041478,2006/2007
AvaFord,teacher,48efa73d-6a83-439c-912e-461c24d72c8a,"Department of Aerospace Engineering",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041399,2006/2007
AvaWalton,teacher,36bf4c9c-c552-44e9-b200-eecb2cbe625f,"Department of Pharmacology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041375,2006/2007
BaileyGriffin,teacher,e7caa28b-ca20-4bbb-ac59-894a5c32e7b4,"Department of Biochemistry",06e3d111-dd5b-0f94-698e-eed00bbd2569,1,PEDU0041319,2006/2007
BaileyHoughton,staff,465095cd-6b65-4cb0-855e-94496eaa34bb,"Institute of Sport",,0,PEDU0041644,2010/2011
BaileyMatthews,staff,19bd5037-47cc-4fb6-aa4d-77cee443a004,"School of Dentistry",,0,PEDU0041664,2010/2011
BaileySchofield,teacher,7fad26f2-317b-4ea8-8800-ad05e86f5039,"Institute of Sport",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041333,2006/2007
BenColes,teacher,1e22f843-f98e-4818-b05b-91f6523a7b96,"Department of Pharmaceutical Microbiology",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0032811,2006/2007
BenCooper,teacher,921aef81-bcf2-49fd-941a-2602fe9e52fe,"Department of General Studies",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041272,2006/2007
BenHenry,teacher,8fff03dd-f546-46b1-ad55-858fd6b701f4,"Exams & Records",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0022006,2006/2007
BenjaminDavidson,staff,1c5eb3c3-62be-498f-be04-4b87c6b47d42,"Faculty of Pharmacy",,0,PEDU0041598,2006/2007
BenjaminFarmer,teacher,da61d72c-b71a-4cda-9301-1fb130ed1ac2,"Department of Civil & Structural Engineering",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0017350,2006/2007
BenjaminHunt,staff,2d4414ad-1941-4a0c-aa14-20f89bdacd45,"Department of Biochemistry",0ce724da-92da-7744-35b8-10bed19d959b,0,PEDU0041600,2006/2007
BenjaminLeach,teacher,01520941-2470-40b1-ab00-f5bf5bf8a529,"Department of Pharmacognosy",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041291,2006/2007
BenjaminLynch,staff,4fb505d2-261a-4091-a300-ec9fcb685d96,"School of Dentistry",,0,PEDU0041661,2008/2009
BenOConnor,staff,e798e77b-532d-4027-be00-e79aac4311ce,"Department of Oral Diagnosis & Radiology",,0,PEDU0041609,2007/2008
BenOwens,teacher,8a7c33c3-f1e1-4751-a200-b4f726f3c621,"Institute of Sport",853c6bab-2240-2d24-d113-e6c8cc817d0a,1,PEDU0041322,2006/2007
BenRoss,teacher,fb1c077b-408a-4f6f-8900-dced94deaa87,"Department of Anatomy",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0017325,2006/2007
BethanyCole,secretary,406cb04e-bb18-4f7f-8817-23e493f2e106,"Department of Anatomy",de0465c1-ba22-f1c4-555c-54bfec6cd14a,0,PEDU0041725,2007/2008
BethanyHill,teacher,170bac8a-2d28-4028-8e30-48f938e0a71f,"Department of Obsterics & Gynaecology",06e3d111-dd5b-0f94-698e-eed00bbd2569,1,PEDU0041518,2006/2007
BillyClayton,teacher,8ce922d5-713a-4cad-a300-ee885a230cca,"Department of Plant Biology and Biotechnology",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0022102,2006/2007
BillyFlynn,teacher,b6a1acf1-6504-492b-a02b-43ce88bfa474,"Department of Pharmacognosy",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0032813,2006/2007
BillyGraham,staff,db6a4412-0754-4bbe-9300-ed3a29c61761,"Exams & Records",,0,PEDU0041631,2009/2010
BillyJames,teacher,5bb57bc0-dbaa-4c85-b600-fc5b2d6fe8d9,"Department of Plant Biology and Biotechnology",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0022061,2006/2007
BillyJones,staff,56648409-409c-40f3-9e06-06d2785f0a86,"Exams & Records",,0,PEDU0041647,2010/2011
BradleyBanks,teacher,0ebf3193-b9a9-473a-8b24-36201303a2f0,"Department of Environmental Science",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0017311,2006/2007
BradleyBell,teacher,4745623c-e233-4619-8800-a33b2c687c50,"Department of Aerospace Engineering",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0022049,2006/2007
BradleyCunningham,staff,7676a9c5-7ce9-48ba-bf00-b97ee21ef627,"Institute of Sport",,0,PEDU0041641,2010/2011
BradleyFlynn,teacher,d75adc89-798b-45e0-aa01-1afe03f7d664,"Department of Theatre Arts",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022087,2006/2007
BradleyKing,teacher,2fde31f6-fd5a-496f-8d4c-763edf4461a0,"Department of Pharmaceutical Microbiology",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041289,2006/2007
BradleyWalker,teacher,ba3c2aba-fb2c-4894-b100-f183f261abd8,"Department of Preventive Dentistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0017301,2006/2007
BrandonBoyle,teacher,a57fb918-37ce-4fef-b400-c60dfe1b9578,"Institute of Sport",853c6bab-2240-2d24-d113-e6c8cc817d0a,1,PEDU0041341,2006/2007
BrandonCarey,staff,578af570-8411-4fb5-b800-0bb9836a8ea7,"Department of Environmental Science",,0,PEDU0041656,2008/2009
BrandonHilton,teacher,27f5f98c-88d3-470a-8a00-c658dcd7bab7,"Department of Civil & Structural Engineering",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041275,2006/2007
BrandonWright,teacher,c2fc15fe-b406-423e-8c00-bac7c0cbe8a4,"Department of Civil & Structural Engineering",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0022091,2006/2007
BrookeHolt,teacher,5d62b7ac-aff1-4a8d-bd00-fe894aa426a4,"Department of Chemistry",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041354,2006/2007
BrookePalmer,teacher,4da02e92-6140-4077-a000-a98911494920,"Department of Periodontics Dentistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041350,2006/2007
BrookeReeves,teacher,b01e0f3f-4b69-44d8-aa40-645e19f232a8,"Department of Oral Diagnosis & Radiology",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041342,2006/2007
CaitlinTucker,staff,bb542a8a-b653-4167-b23f-63a27a5fbed6,"University Administration and Services",8e3b858a-be06-4659-8100-0b9007b901d8,0,PEDU0041584,2008/2009
CallumKirk,teacher,13f5bdd1-9450-4a26-8c1d-2924f5ca7376,"Department of Environmental Science",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0022017,2006/2007
CallumMcDonald,teacher,49c8837b-bd88-4186-a73e-6217568c6d15,"Faculty of Engineering",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0032791,2006/2007
CallumPerkins,staff,7f3f99d9-705c-46c2-bf09-9e752499292a,"Institute of Sport",,0,PEDU0041643,2010/2011
CameronAdams,staff,856ae7a7-2394-496c-8d58-88963a93abf6,"School of Dentistry",,0,PEDU0041663,2010/2011
CameronHayward,teacher,6a3aa4f9-f472-4dc2-9502-2d08a6fab481,"Department of Environmental Science",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0022099,2006/2007
CameronKemp,staff,db53863c-7e22-421c-a500-0d71d14e250e,"Department of Preventive Dentistry",,0,PEDU0041679,2010/2011
CameronKerr,teacher,b3c3cd29-03ff-4d39-b107-7aa17d376f61,"Department of Clinical Pharmacy",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0022067,2006/2007
CameronLewis,teacher,955fea64-66a6-47a6-af00-ef7dbbccad8c,"Department of Mathematics",853c6bab-2240-2d24-d113-e6c8cc817d0a,1,PEDU0041309,2006/2007
CameronPhillips,teacher,717fdfa9-3cfd-49a3-8f00-d8e7cd8bbef5,"Department of History",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022084,2006/2007
CameronReeves,teacher,a094ed5c-cb53-411a-8122-3449d5bc0170,"Department of Linguistics",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022002,2006/2007
CerysDyer,secretary,1aa2613a-7aa8-43a1-9400-e753a69b5c1b,"Department of English and Literature",5bd40d68-a530-2d24-496c-f7d9e6be64ef,0,PEDU0041728,2007/2008
CharlesArcher,teacher,1aab98fa-bbd2-4fc0-a300-ebf46d7cb3c8,"Institute of Sport",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041329,2006/2007
CharlesBarber,teacher,6bb4a074-4f29-43c6-be00-d99478d3cedc,"Department of Mathematics",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0017309,2006/2007
CharlesCoates,teacher,f64d2854-506c-419b-b503-3ed09347a28c,"Department of Clinical Pharmacy",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0017313,2006/2007
CharlesGriffiths,teacher,f51fc41f-0af5-4885-9600-f0080f478f3a,"Department of Physiology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022081,2006/2007
CharlesPope,teacher,e7880f71-9980-45d6-b647-712a2747265a,"Department of Biochemistry",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0022057,2006/2007
CharlesPotts,teacher,d7a455c8-b196-4cd6-ab61-9709cbc8aa5d,"Department of History",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0022043,2006/2007
CharlesRogers,teacher,b0316d02-4441-4ac4-ad39-574aef9a3b85,"Department of Pharmacology",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041292,2006/2007
CharlieFlynn,staff,910022f8-15af-49df-9c00-d47947d9a424,"Department of History",,0,PEDU0041621,2008/2009
CharlieGilbert,staff,55be4cbc-2f64-4c3c-a45d-93595518d76e,"University Administration and Services",ca4e4218-69b5-433e-864c-768d9ff88c7d,0,PEDU0041670,2010/2011
CharlieHolloway,teacher,08faa6db-8cb8-4dc1-a838-56b514232468,"Department of Oral Diagnosis & Radiology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0032793,2006/2007
CharlieMorgan,teacher,693aa1c8-c25a-4961-ad00-fa9619e1e8bc,"Department of Oral Surgery & Pathology",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0017295,2006/2007
CharliePalmer,teacher,bba5bcf4-210e-4028-bd00-cd43a85c43b8,"Department of Computer Science",06e3d111-dd5b-0f94-698e-eed00bbd2569,1,PEDU0041356,2006/2007
CharliePatterson,secretary,98ce066a-a908-4529-8706-6baa70c1d6c4,"Department of Community Health",de0465c1-ba22-f1c4-555c-54bfec6cd14a,0,PEDU0041720,2007/2008
CharlieRoberts,teacher,e6a9a953-ff85-4359-a714-20b8391d6416,"Department of Aerospace Engineering",853c6bab-2240-2d24-d113-e6c8cc817d0a,1,PEDU0041531,2006/2007
CharlieRobson,teacher,0d5ac1b7-ccb9-4e69-9100-f5342e41bfe8,"Department of Mechanical Engineering",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041273,2006/2007
CharlotteParkinson,teacher,e038ac5c-0c64-4700-8e54-84a79cab7ffd,"Department of Microbiology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041417,2006/2007
CharlottePreston,teacher,4353dd3e-2353-4620-8600-c079bbe5ce80,"Department of Geology",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041505,2006/2007
ChelseaMistry,teacher,550dd578-101b-4851-9c45-69f50c843166,"Department of Aerospace Engineering",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041490,2006/2007
ChloeChamberlain,teacher,99b63b7d-cd8d-45b7-b263-99d6161d49a4,"Faculty of Science",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041402,2006/2007
ChloeCraig,secretary,816f6f0e-68bb-4c6c-8b00-ede06d00a378,"Department of Restorative Dentistry",5bd40d68-a530-2d24-496c-f7d9e6be64ef,0,PEDU0041701,2006/2007
ChloeHobbs,teacher,80b62cad-f4f9-42d9-8300-adc74adca10a,"Institute of Sport",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041537,2006/2007
ChristopherAli,teacher,e3d553a3-7bbf-4531-ba00-b00c3ffcf601,"Department of English and Literature",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0041266,2006/2007
ChristopherFletcher,teacher,6b9b20f4-1323-4368-a455-85a38f8cc94f,"Department of Preventive Dentistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0017299,2006/2007
ChristopherHarding,teacher,1466003e-110a-4728-9300-a870022157b3,"Department of Mathematics",75cb9035-8c17-be14-f1fa-407cfc5468d7,1,PEDU0032807,2006/2007
ConnorAhmed,teacher,138faeab-85d1-483d-a51e-304d2bafb9cb,"Department of Physics",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0022066,2006/2007
ConnorPoole,teacher,6baf6cb0-32ba-4f95-9e00-a887630fbb0b,"Institute of Sport",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041324,2006/2007
ConnorPotts,staff,0ae2475d-5e71-4ef2-8f30-48ebe2534381,"Department of Oral Diagnosis & Radiology",,0,PEDU0041687,2010/2011
ConnorTyler,staff,4eb19dbd-7217-4f8a-9300-0d1702b42dfc,"University Administration and Services",00679542-3237-4184-7dc1-3874f2f4ae67,0,PEDU0041680,2010/2011
CoreyBanks,teacher,422a3783-e7b2-47d7-a900-c3b2db2dde71,"Department of Preventive Dentistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0017300,2006/2007
CoreyFrost,staff,15a78320-9e8f-449f-a412-18b0ecba2043,"Exams & Records",,0,PEDU0041632,2010/2011
CoreyLynch,teacher,baf1f518-2639-46b4-b209-9f27dc80530c,"Department of Preventive Dentistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0032796,2006/2007
CoreyMiddleton,teacher,8aa131e9-8036-45a7-bf38-5619031b973b,"Department of Oral Surgery & Pathology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041277,2006/2007
CourtneyBlake,secretary,d415eb1a-cb0e-4b56-b904-4fb7ca14df54,"Department of Preventive Dentistry",de0465c1-ba22-f1c4-555c-54bfec6cd14a,0,PEDU0041700,2006/2007
CourtneyDale,teacher,dacf62e7-17c4-4a85-bf04-4b338f7802df,"Department of Pharmaceutics",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041367,2006/2007
DaisyCarey,teacher,3d73d0d0-8300-43fd-8b01-1d9d5707b90b,"Department of Pharmaceutical Microbiology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041427,2006/2007
DaisyMacdonald,teacher,282100c9-8fe9-4d55-9b03-3b429eaf6067,"Department of Physics",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041424,2006/2007
DaisyMiddleton,teacher,9509bb9c-78ae-49a1-ba2d-45db83f3b2aa,"University Administration and Services",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041408,2006/2007
DanielBerry,teacher,a2f48296-3533-4ee8-b725-37e2b3eb0e1b,"Department of Medical Laboratory Science",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0021997,2006/2007
DanielleAbbott,teacher,20f6c3b4-774d-401d-b900-e2e280979bea,"Institute of Sport",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041538,2006/2007
DanielleNicholson,teacher,4ebf1d49-b8f2-4bc5-a902-029b1f06feb6,"Department of Animal and Environmental Biology",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0041414,2006/2007
DaniellePerry,teacher,57c8952f-8008-4737-ad43-67db8ef6c560,"Department of Medicine",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041475,2006/2007
DanielMoran,teacher,9b5b0bbe-49cb-451e-af09-9cf48da413ae,"Department of Biochemistry",6706ac69-6879-d4b4-f9c5-4866d6feda45,1,PEDU0017303,2006/2007
DanielSullivan,staff,e76fba1f-ea03-4bb8-9900-ff95be65b59c,"Department of Pharmaceutical Chemistry",0ce724da-92da-7744-35b8-10bed19d959b,0,PEDU0041601,2006/2007
DanielWarren,teacher,4b4e08a9-160d-4869-b805-5df32c7532e3,"Department of Surgery",8e1d24d8-ec9c-93c4-d925-bbe53f6d948b,1,PEDU0041262,2006/2007
